TRACTID,LATITUDE,LONGITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
3685,43.59053029,-79.64842097,17864,5420,4387,2611,3
3686,43.62988069,-79.60481356,13852,4202,3918,2307,3
3687,43.70702283,-79.64437111,18372,6465,3971,2578,3
3693,43.62261232,-79.54793442,10857,3191,2708,1948,3
3701,43.60750419,-79.48954187,8476,2619,2640,1884,3
3704,43.63627227,-79.5465826,9834,2967,2540,1971,3
3739,44.31713691,-79.35711423,60101,19955,12310,4621,3
3776,43.71871123,-79.78759564,28983,9124,6806,2968,3
3807,44.18182883,-79.21585573,53657,17490,200000,4384,3
3809,44.0204166,-79.2801958,37180,12686,200000,3335,3
3810,44.01770336,-79.34991209,35243,11857,200000,3127,3
3812,43.99171191,-79.47222046,29175,11466,5995,3401,3
3813,43.40236133,-79.74932703,34298,9790,12692,2705,3
3816,44.05789869,-79.44786261,34928,12228,7215,3301,3
3817,44.03461631,-79.46892251,32270,12206,6336,3358,3
3818,44.07348149,-79.43503411,36814,12337,8777,3198,3
3820,43.93169781,-79.52400152,26196,8784,6033,3183,3
3821,44.02333555,-79.5413569,33603,10586,200000,3546,3
3822,43.90371119,-79.649506,29809,9540,200000,3308,3
3823,43.95865522,-79.66103011,34521,10810,200000,3646,3
3829,43.87412205,-79.272813,23917,7194,4247,2648,3
3839,43.91447932,-80.09370955,54570,17235,13461,4386,3
3849,43.96928765,-79.47442437,27879,11678,7560,3449,3
3851,43.86285687,-79.26989274,23310,7023,8886,2714,3
3852,43.88513604,-79.24063731,26158,7905,9064,2768,3
3853,43.78063001,-79.55615732,18079,6251,4100,2610,3
3862,43.76609223,-79.52117165,14262,4340,3335,2485,3
3863,43.7691213,-79.51625442,14266,4490,3346,2565,3
3864,43.78469552,-79.45759915,11606,4271,3551,2474,3
3881,43.8347407,-79.34121968,18144,6936,7888,2354,3
3882,43.86351495,-79.32812292,21127,7945,11548,2548,3
3883,43.86723545,-79.31302483,21840,6538,4666,2643,3
3884,43.87381419,-79.32408203,22419,6665,12761,2655,3
3885,43.82885973,-79.41972288,14902,6492,4110,2462,3
3888,43.79208125,-79.45700995,12207,4506,3740,2453,3
3889,43.80972231,-79.43593159,13642,5041,4253,2676,3
3890,43.79860067,-79.45330045,12690,4750,3902,2586,3
3891,43.79250968,-79.47953346,13512,4913,4452,2570,3
3906,43.75382923,-79.39109313,8516,4073,2995,2165,3
3907,43.75154985,-79.4015846,7896,3089,2405,2149,3
