TRACTID,LATITUDE,LONGITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
2673,43.51861567,-79.84187167,22538,7183,5590,2359,3
2732,43.75527266,-79.74075901,10783,3383,3494,2041,3
2759,43.5247241,-79.8455101,22551,7100,5635,2335,3
2760,43.4966882,-79.88720078,26380,8134,200000,2629,3
2761,43.78313237,-79.73071711,11603,3313,4691,1895,3
2765,43.75995795,-79.74879931,11308,3534,3707,2127,3
2805,43.84570356,-79.0040504,42250,14029,6593,2894,3
2808,43.86280917,-78.99952115,42323,13392,7900,2859,3
2809,43.68614097,-79.35189525,18693,5592,3478,2463,3
2817,43.73085995,-79.30816824,20399,7231,5005,2275,3
2818,43.73462742,-79.31905272,20573,7417,6003,2163,3
2823,43.75653203,-79.32589004,20319,7235,5373,1952,3
2824,43.7466724,-79.3293379,19882,6902,6209,2087,3
2825,43.76031399,-79.36644507,18098,6281,4680,1810,3
2826,43.7539038,-79.37329563,17363,6088,4657,1854,3
2827,43.73455515,-79.42601259,13542,4830,3397,1645,3
2828,43.72531704,-79.42312948,12983,4704,3124,1782,3
2841,43.66287238,-79.34308214,19221,5794,3457,2260,3
2846,43.70190198,-79.2497265,24908,7215,5331,2980,3
2860,43.6706688,-79.37447235,16696,4967,2696,2407,3
2870,43.64248324,-79.48132094,10401,2926,2610,1710,3
2871,43.66084456,-79.44113033,12760,3712,1795,2330,2
2872,43.66947671,-79.37251404,16909,5031,2887,2303,3
2874,43.66514156,-79.33779677,19538,5899,3896,2307,3
2875,43.66948045,-79.38109913,16274,4812,2688,2467,3
2880,43.66488286,-79.37917062,16671,4902,2525,2348,3
2886,44.13300653,-79.78424683,41317,11648,200000,3525,3
2889,43.70435854,-79.39335346,14890,4857,3273,2283,3
2890,43.67661524,-79.49255084,8992,2628,3143,1700,3
2891,43.68058878,-79.48588493,9257,2649,2404,1653,3
2892,43.69863972,-79.44549179,11463,3741,3351,1718,3
2893,43.70250579,-79.4455587,11422,3816,3333,1725,3
2894,43.69819634,-79.5101603,6912,2836,999,1529,2
2895,43.70405321,-79.52583752,6309,1983,1650,1343,3
2896,43.68678283,-79.34386751,19110,5683,3505,2345,3
2897,43.6943376,-79.34673479,18106,5770,3761,2248,3
2899,43.69004064,-79.35707857,18710,5614,3764,2355,3
2900,43.69812451,-79.29407453,21761,6602,3798,2653,3
2901,43.70519065,-79.29996404,21178,6672,4583,2570,3
2902,43.63601533,-79.57781424,5424,1443,2647,1386,3
2903,43.64050021,-79.56628806,5259,1417,2352,1224,3
2904,43.64257211,-79.5541551,6114,1876,2578,1306,3
2905,43.65143533,-79.55816088,5387,1484,2844,1286,3
2907,43.82903013,-79.18573082,32274,10466,9474,2580,3
2910,43.66974893,-79.51587847,7469,2150,2246,1533,3
2911,43.6805189,-79.51718667,7165,2013,2210,1460,3
2912,43.66781402,-79.57915113,3314,929,1697,1283,1
2913,43.6573244,-79.57536716,3736,1042,1853,1240,1
2914,43.6487685,-79.57110042,4589,1244,2114,1275,1
2938,43.71509729,-79.64021595,3401,927,1178,1219,1
2958,43.72060882,-79.32595223,19293,6965,5102,2192,3
2963,43.69073428,-79.33350836,19081,5907,3725,2299,3
2966,43.68706738,-79.33324421,19306,5791,3396,2353,3
